dataset,p,m_from,m_to,change,height
Covertype,1.0,5,10,5→10,14.204676612863175
Covertype,1.0,10,50,10→50,4.842968897063879
Covertype,1.0,50,100,50→100,1.5954716142185346
Covertype,1.0,200,500,200→500,1.371638861523903
Covertype,1.0,500,1000,500→1000,1.1687317100611794
Covertype,1.0,1000,5000,1000→5000,1.1090878599185916
Covertype,1.3,5,10,5→10,29.73767912130226
Covertype,1.3,10,50,10→50,7.796540606732713
Covertype,1.3,50,100,50→100,1.8568710499698304
Covertype,1.3,200,500,200→500,1.473365669332061
Covertype,1.3,500,1000,500→1000,1.2238241164107297
Covertype,1.3,1000,5000,1000→5000,1.144178892887505
Covertype,1.5,5,10,5→10,48.4854986625881
Covertype,1.5,10,50,10→50,10.63825125076809
Covertype,1.5,50,100,50→100,2.1242236709056663
Covertype,1.5,200,500,200→500,1.5579131395429733
Covertype,1.5,500,1000,500→1000,1.262608395749612
Covertype,1.5,1000,5000,1000→5000,1.1697988094058045
Covertype,1.7,5,10,5→10,79.91768166752821
Covertype,1.7,10,50,10→50,14.695182374170468
Covertype,1.7,50,100,50→100,2.4446628973084152
Covertype,1.7,200,500,200→500,1.6631090525551007
Covertype,1.7,500,1000,500→1000,1.303106574089605
Covertype,1.7,1000,5000,1000→5000,1.196064747724894
Covertype,2.0,5,10,5→10,180.6569959695666
Covertype,2.0,10,50,10→50,25.668023211756573
Covertype,2.0,50,100,50→100,3.0437578735458493
Covertype,2.0,200,500,200→500,1.8511198629213672
Covertype,2.0,500,1000,500→1000,1.3698854737258817
Covertype,2.0,1000,5000,1000→5000,1.2369768221223154
Example2D,1.0,5,10,5→10,14.774737422371313
Example2D,1.0,10,50,10→50,1.612262802391592
Example2D,1.0,50,100,50→100,1.22800392779003
Example2D,1.0,100,500,100→500,1.0703128333868783
Example2D,1.0,500,1000,500→1000,1.0679065893688524
Example2D,1.0,1000,5000,1000→5000,1.0597093135284243
Example2D,1.3,5,10,5→10,32.47398721820397
Example2D,1.3,10,50,10→50,1.8216655721659258
Example2D,1.3,50,100,50→100,1.26955985037225
Example2D,1.3,100,500,100→500,1.05902552381407
Example2D,1.3,500,1000,500→1000,1.0810138090957404
Example2D,1.3,1000,5000,1000→5000,1.0701654405473422
Example2D,1.5,5,10,5→10,54.66007244507667
Example2D,1.5,10,50,10→50,2.1471955676801264
Example2D,1.5,50,100,50→100,1.307302845105593
Example2D,1.5,100,500,100→500,1.0639253559389115
Example2D,1.5,500,1000,500→1000,1.0881457724398043
Example2D,1.5,1000,5000,1000→5000,1.0760953315235675
Example2D,1.7,5,10,5→10,91.83628050014079
Example2D,1.7,10,50,10→50,2.5720448854006723
Example2D,1.7,50,100,50→100,1.373373564934847
Example2D,1.7,100,500,100→500,1.0739363427996047
Example2D,1.7,500,1000,500→1000,1.094207624517921
Example2D,1.7,1000,5000,1000→5000,1.0819196523524728
Example2D,2.0,5,10,5→10,199.9982413458234
Example2D,2.0,10,50,10→50,3.455270592276472
Example2D,2.0,50,100,50→100,1.479838630927733
Example2D,2.0,100,500,100→500,1.0935956647196174
Example2D,2.0,500,1000,500→1000,1.101554568999919
Example2D,2.0,1000,5000,1000→5000,1.091265852538566
Iris,1.0,5,10,5→10,2.2088239070221194
Iris,1.0,10,50,10→50,2.4766759326210903
Iris,1.0,50,100,50→100,1.596084699516401
Iris,1.0,100,500,100→500,1.1420709287248645
Iris,1.0,500,1000,500→1000,1.0740908334872643
Iris,1.0,1000,10000,1000→10000,1.0504680795099317
Iris,1.3,5,10,5→10,2.837233403830839
Iris,1.3,10,50,10→50,3.1362182860150076
Iris,1.3,50,100,50→100,1.8652879712252892
Iris,1.3,100,500,100→500,1.177832118401137
Iris,1.3,500,1000,500→1000,1.0933686368703792
Iris,1.3,1000,10000,1000→10000,1.0573154772392692
