dataset,p,m_from,m_to,change,height
Covertype,2.3,5,10,5->10,4434.466476
Covertype,2.3,10,50,10->50,116.862993
Covertype,2.3,50,100,50->100,3.966081
Covertype,2.3,100,500,100->500,2.112282
Covertype,2.3,500,1000,500->1000,1.525823
Covertype,2.3,1000,5000,1000->5000,1.310282
Covertype,2.5,5,10,5->10,9705.11366
Covertype,2.5,10,50,10->50,179.544968
Covertype,2.5,50,100,50->100,4.71291
Covertype,2.5,100,500,100->500,2.309378
Covertype,2.5,500,1000,500->1000,1.598182
Covertype,2.5,1000,5000,1000->5000,1.360671
Covertype,3.0,5,10,5->10,70539.307868
Covertype,3.0,10,50,10->50,535.807646
Covertype,3.0,50,100,50->100,7.334643
Covertype,3.0,100,500,100->500,2.995941
Covertype,3.0,500,1000,500->1000,1.804905
Covertype,3.0,1000,5000,1000->5000,1.506795
Covertype,3.5,5,10,5->10,527314.127328
Covertype,3.5,10,50,10->50,1691.388014
Covertype,3.5,50,100,50->100,11.511783
Covertype,3.5,100,500,100->500,4.026876
Covertype,3.5,500,1000,500->1000,2.059049
Covertype,3.5,1000,5000,1000->5000,1.685937
Covertype,4.0,5,10,5->10,4041820.991903
Covertype,4.0,10,50,10->50,5689.156225
Covertype,4.0,50,100,50->100,18.081931
Covertype,4.0,100,500,100->500,5.779585
Covertype,4.0,500,1000,500->1000,2.441328
Covertype,4.0,1000,5000,1000->5000,1.935672
Example2D,2.3,5,10,5->10,437.41286
Example2D,2.3,10,50,10->50,4.74535
Example2D,2.3,50,100,50->100,1.612053
Example2D,2.3,100,500,100->500,1.118304
Example2D,2.3,500,1000,500->1000,1.106969
Example2D,2.3,1000,5000,1000->5000,1.10066
Example2D,2.5,5,10,5->10,740.158149
Example2D,2.5,10,50,10->50,5.915096
Example2D,2.5,50,100,50->100,1.708191
Example2D,2.5,100,500,100->500,1.139888
Example2D,2.5,500,1000,500->1000,1.10952
Example2D,2.5,1000,5000,1000->5000,1.107061
Example2D,3.0,5,10,5->10,2812.490455
Example2D,3.0,10,50,10->50,10.460201
Example2D,3.0,50,100,50->100,1.98649
Example2D,3.0,100,500,100->500,1.227679
Example2D,3.0,500,1000,500->1000,1.11738
Example2D,3.0,1000,5000,1000->5000,1.12959
Example2D,3.5,5,10,5->10,11028.497332
Example2D,3.5,10,50,10->50,18.738289
Example2D,3.5,50,100,50->100,2.382535
Example2D,3.5,100,500,100->500,1.360747
Example2D,3.5,500,1000,500->1000,1.119892
Example2D,3.5,1000,5000,1000->5000,1.156357
Example2D,4.0,5,10,5->10,44541.451044
Example2D,4.0,10,50,10->50,33.592584
Example2D,4.0,50,100,50->100,2.867894
Example2D,4.0,100,500,100->500,1.549514
Example2D,4.0,500,1000,500->1000,1.117095
Example2D,4.0,1000,5000,1000->5000,1.18571
Iris,2.3,5,10,5->10,7.469987
Iris,2.3,10,50,10->50,6.477706
Iris,2.3,50,100,50->100,3.068154
Iris,2.3,100,500,100->500,1.294268
Iris,2.3,500,1000,500->1000,1.190068
Iris,2.3,1000,5000,1000->5000,1.113866
Iris,2.5,5,10,5->10,9.144204
Iris,2.5,10,50,10->50,7.416409
Iris,2.5,50,100,50->100,3.382028
Iris,2.5,100,500,100->500,1.314569
Iris,2.5,500,1000,500->1000,1.214033
Iris,2.5,1000,5000,1000->5000,1.136021
Iris,3.0,5,10,5->10,16.869729
Iris,3.0,10,50,10->50,10.251561
Iris,3.0,50,100,50->100,4.314744
Iris,3.0,100,500,100->500,1.359612
Iris,3.0,500,1000,500->1000,1.270235
Iris,3.0,1000,5000,1000->5000,1.197552
Iris,3.5,5,10,5->10,33.547602
Iris,3.5,10,50,10->50,13.882607
Iris,3.5,50,100,50->100,5.514367
Iris,3.5,100,500,100->500,1.416576
Iris,3.5,500,1000,500->1000,1.322372
Iris,3.5,1000,5000,1000->5000,1.267103
Iris,4.0,5,10,5->10,68.021131
Iris,4.0,10,50,10->50,18.458298
Iris,4.0,50,100,50->100,7.067553
Iris,4.0,100,500,100->500,1.581115
Iris,4.0,500,1000,500->1000,1.394826
Iris,4.0,1000,5000,1000->5000,1.343588
KDDCup,2.3,5,10,5->10,78.457308
KDDCup,2.3,10,50,10->50,23.674641
KDDCup,2.3,50,100,50->100,3.324338
KDDCup,2.3,100,500,100->500,1.821026
KDDCup,2.3,500,1000,500->1000,1.420007
KDDCup,2.3,1000,5000,1000->5000,1.548621
KDDCup,2.5,5,10,5->10,144.431389
KDDCup,2.5,10,50,10->50,33.492168
KDDCup,2.5,50,100,50->100,4.068014
KDDCup,2.5,100,500,100->500,1.920906
KDDCup,2.5,500,1000,500->1000,1.50998
KDDCup,2.5,1000,5000,1000->5000,1.686215
KDDCup,3.0,5,10,5->10,557.563117
KDDCup,3.0,10,50,10->50,107.110155
KDDCup,3.0,50,100,50->100,6.998227
KDDCup,3.0,100,500,100->500,3.873413
KDDCup,3.0,500,1000,500->1000,1.867036
KDDCup,3.0,1000,5000,1000->5000,2.232222
KDDCup,3.5,5,10,5->10,1701.164818
KDDCup,3.5,10,50,10->50,368.342194
KDDCup,3.5,50,100,50->100,13.042157
KDDCup,3.5,100,500,100->500,8.18268
KDDCup,3.5,500,1000,500->1000,3.470079
KDDCup,3.5,1000,5000,1000->5000,3.156765
KDDCup,4.0,5,10,5->10,4728.61976
KDDCup,4.0,10,50,10->50,1158.013562
KDDCup,4.0,50,100,50->100,23.620108
KDDCup,4.0,100,500,100->500,16.218269
KDDCup,4.0,500,1000,500->1000,6.5759
KDDCup,4.0,1000,5000,1000->5000,4.797229
Webspam,2.3,5,10,5->10,1901.265558
Webspam,2.3,10,50,10->50,155.856546
Webspam,2.3,50,100,50->100,5.873221
Webspam,2.3,100,500,100->500,3.190286
Webspam,2.3,500,1000,500->1000,1.699953
Webspam,2.3,1000,5000,1000->5000,1.46557
Webspam,2.5,5,10,5->10,4213.731149
Webspam,2.5,10,50,10->50,256.293728
Webspam,2.5,50,100,50->100,7.861449
Webspam,2.5,100,500,100->500,3.826534
Webspam,2.5,500,1000,500->1000,1.855266
Webspam,2.5,1000,5000,1000->5000,1.565031
Webspam,3.0,5,10,5->10,27978.272208
Webspam,3.0,10,50,10->50,961.531082
Webspam,3.0,50,100,50->100,17.801098
Webspam,3.0,100,500,100->500,6.683804
Webspam,3.0,500,1000,500->1000,2.638848
Webspam,3.0,1000,5000,1000->5000,2.073805
Webspam,3.5,5,10,5->10,153728.235381
Webspam,3.5,10,50,10->50,3406.017102
Webspam,3.5,50,100,50->100,45.69426
Webspam,3.5,100,500,100->500,15.510659
Webspam,3.5,500,1000,500->1000,4.700562
Webspam,3.5,1000,5000,1000->5000,4.370341
Webspam,4.0,5,10,5->10,837819.0475
Webspam,4.0,10,50,10->50,10953.583382
Webspam,4.0,50,100,50->100,150.759885
Webspam,4.0,100,500,100->500,36.981118
Webspam,4.0,500,1000,500->1000,8.547222
Webspam,4.0,1000,5000,1000->5000,9.088636
