dataset,p,method,k50,k90,k95
Covertype,1.0,Lewis Weights,67019,423535,493295
Covertype,1.0,Random Evaluations,236826,501472,539680
Covertype,1.0,l2lp Leverage Scores,79277,421882,491296
Covertype,1.0,lp Leverage Scores,167743,462667,515338
Covertype,1.3,Lewis Weights,62436,410739,483940
Covertype,1.3,Random Evaluations,219939,493657,535040
Covertype,1.3,l2lp Leverage Scores,59037,395256,472151
Covertype,1.3,lp Leverage Scores,111918,437401,499289
Covertype,1.5,Lewis Weights,60017,402957,478119
Covertype,1.5,Random Evaluations,208665,488069,531677
Covertype,1.5,l2lp Leverage Scores,54380,385861,465514
Covertype,1.5,lp Leverage Scores,75023,393523,470385
Covertype,1.7,Lewis Weights,57642,395855,472822
Covertype,1.7,Random Evaluations,197453,482171,528088
Covertype,1.7,l2lp Leverage Scores,54052,385947,465576
Covertype,1.7,lp Leverage Scores,76957,403033,473277
Covertype,2.0,Lewis Weights,53490,384763,464443
Covertype,2.0,Random Evaluations,180888,472732,522263
Covertype,2.0,l2lp Leverage Scores,53490,384763,464443
Covertype,2.0,lp Leverage Scores,53490,384763,464443
Example2D,1.0,Lewis Weights,61,147,160
Example2D,1.0,Random Evaluations,57,143,158
Example2D,1.0,l2lp Leverage Scores,44,135,153
Example2D,1.0,lp Leverage Scores,65,148,161
Example2D,1.3,Lewis Weights,55,143,158
Example2D,1.3,Random Evaluations,48,137,155
Example2D,1.3,l2lp Leverage Scores,43,135,153
Example2D,1.3,lp Leverage Scores,66,149,162
Example2D,1.5,Lewis Weights,51,140,156
Example2D,1.5,Random Evaluations,41,133,152
Example2D,1.5,l2lp Leverage Scores,42,134,152
Example2D,1.5,lp Leverage Scores,45,121,140
Example2D,1.7,Lewis Weights,47,138,155
Example2D,1.7,Random Evaluations,36,129,149
Example2D,1.7,l2lp Leverage Scores,42,134,152
Example2D,1.7,lp Leverage Scores,32,109,130
Example2D,2.0,Lewis Weights,42,134,152
Example2D,2.0,Random Evaluations,29,122,144
Example2D,2.0,l2lp Leverage Scores,42,134,152
Example2D,2.0,lp Leverage Scores,42,134,152
Iris,1.0,Lewis Weights,59,128,138
Iris,1.0,Random Evaluations,60,126,137
Iris,1.0,l2lp Leverage Scores,45,120,133
Iris,1.0,lp Leverage Scores,51,118,130
Iris,1.3,Lewis Weights,54,125,137
Iris,1.3,Random Evaluations,56,123,135
Iris,1.3,l2lp Leverage Scores,45,119,133
Iris,1.3,lp Leverage Scores,59,126,137
Iris,1.5,Lewis Weights,51,124,136
Iris,1.5,Random Evaluations,54,121,134
Iris,1.5,l2lp Leverage Scores,45,120,133
Iris,1.5,lp Leverage Scores,47,119,133
Iris,1.7,Lewis Weights,48,122,134
Iris,1.7,Random Evaluations,52,119,133
Iris,1.7,l2lp Leverage Scores,44,119,132
Iris,1.7,lp Leverage Scores,33,104,120
Iris,2.0,Lewis Weights,44,119,132
Iris,2.0,Random Evaluations,49,116,130
Iris,2.0,l2lp Leverage Scores,44,119,132
Iris,2.0,lp Leverage Scores,44,119,132
KDDCup,1.0,Lewis Weights,6467,130311,193400
KDDCup,1.0,Random Evaluations,122458,404187,448527
KDDCup,1.0,l2lp Leverage Scores,3614,116104,184315
KDDCup,1.0,lp Leverage Scores,4852,142209,208245
KDDCup,1.3,Lewis Weights,4634,117029,183060
KDDCup,1.3,Random Evaluations,88982,377836,435159
KDDCup,1.3,l2lp Leverage Scores,3002,103033,173700
KDDCup,1.3,lp Leverage Scores,3553,119396,188385
KDDCup,1.5,Lewis Weights,3943,110096,177960
KDDCup,1.5,Random Evaluations,61909,350973,421609
KDDCup,1.5,l2lp Leverage Scores,2864,99379,171371
KDDCup,1.5,lp Leverage Scores,1009,75874,158033
KDDCup,1.7,Lewis Weights,3416,104281,173964
KDDCup,1.7,Random Evaluations,36104,309266,400644
KDDCup,1.7,l2lp Leverage Scores,2819,96090,168493
KDDCup,1.7,lp Leverage Scores,76,30988,69158
KDDCup,2.0,Lewis Weights,2882,96991,169259
KDDCup,2.0,Random Evaluations,6555,192925,337175
KDDCup,2.0,l2lp Leverage Scores,2882,96991,169259
KDDCup,2.0,lp Leverage Scores,2882,96991,169259
Webspam,1.0,Lewis Weights,44342,233971,280168
Webspam,1.0,Random Evaluations,106218,284657,315360
Webspam,1.0,l2lp Leverage Scores,28743,213205,263593
Webspam,1.0,lp Leverage Scores,49686,238475,282463
Webspam,1.3,Lewis Weights,32264,214420,263883
Webspam,1.3,Random Evaluations,81925,269237,305662
Webspam,1.3,l2lp Leverage Scores,19216,185117,240272
Webspam,1.3,lp Leverage Scores,41144,220539,268070
Webspam,1.5,Lewis Weights,26163,201920,253695
Webspam,1.5,Random Evaluations,64743,255912,296894
Webspam,1.5,l2lp Leverage Scores,16002,174593,231393
Webspam,1.5,lp Leverage Scores,15029,190351,244154
Webspam,1.7,Lewis Weights,21320,189948,244001
Webspam,1.7,Random Evaluations,46783,238410,285282
Webspam,1.7,l2lp Leverage Scores,15366,172170,229418
Webspam,1.7,lp Leverage Scores,4144,163835,222234
Webspam,2.0,Lewis Weights,15994,172853,229970
Webspam,2.0,Random Evaluations,21783,199412,259306
Webspam,2.0,l2lp Leverage Scores,15994,172853,229970
Webspam,2.0,lp Leverage Scores,15994,172853,229970
