dataset,p,c,ratio_mean,ratio_median
Covertype,1.0,28.8461,0.9728,0.9717
Covertype,1.3,40.6211,1.0391,1.0351
Covertype,1.5,57.198,1.0523,1.0454
Covertype,1.7,63.6358,1.0307,1.0252
Covertype,2.0,1.0,1.0,1.0
Example2D,1.0,1.6697,1.1498,1.1629
Example2D,1.3,1.3819,1.1052,1.112
Example2D,1.5,1.259,1.0823,1.1133
Example2D,1.7,1.1685,1.0469,1.0528
Example2D,2.0,1.0,1.0,1.0
Iris,1.0,1.8895,1.109,1.1049
Iris,1.3,1.6023,1.0798,1.0821
Iris,1.5,1.3491,1.0459,1.0422
Iris,1.7,1.2249,1.0363,1.0386
Iris,2.0,1.0,1.0,1.0
KDDCup,1.0,5.5407,1.0952,0.9563
KDDCup,1.3,3.6891,1.1059,0.9943
KDDCup,1.5,3.4871,1.0629,0.979
KDDCup,1.7,2.0359,1.0515,1.0138
KDDCup,2.0,1.0,1.0,1.0
Webspam,1.0,10.2512,1.1676,1.1741
Webspam,1.3,6.1333,1.2498,1.2594
Webspam,1.5,4.4214,1.239,1.2413
Webspam,1.7,2.0187,1.15,1.1562
Webspam,2.0,1.0,1.0,1.0
