dataset,p,d,scale_factor,c,ratio_mean,ratio_median
Covertype,2.3,55,1.8241,181.3684,0.9647,0.9672
Covertype,2.5,55,2.7233,97.3872,0.9467,0.9502
Covertype,3.0,55,7.4162,2325.8939,0.8683,0.8641
Covertype,3.5,55,20.1963,1000.8525,0.8542,0.8492
Covertype,4.0,55,55.0,14543.0981,0.1027,0.0746
Example2D,2.3,3,1.1791,1.1626,0.9568,0.9425
Example2D,2.5,3,1.3161,1.2775,0.9304,0.9064
Example2D,3.0,3,1.7321,1.5851,0.8714,0.8177
Example2D,3.5,3,2.2795,1.9146,0.8211,0.7361
Example2D,4.0,3,3.0,2.2588,0.7779,0.6674
Iris,2.3,5,1.2731,1.1277,0.9671,0.9591
Iris,2.5,5,1.4953,1.2064,0.9463,0.9341
Iris,3.0,5,2.2361,1.4257,0.8985,0.8706
Iris,3.5,5,3.3437,1.6545,0.8562,0.813
Iris,4.0,5,5.0,1.8938,0.8185,0.7555
KDDCup,2.3,34,1.6972,1.4419,0.9691,0.9982
KDDCup,2.5,34,2.4147,1.8033,0.9517,0.997
KDDCup,3.0,34,5.831,2.958,0.9176,0.9963
KDDCup,3.5,34,14.0802,4.5079,0.9019,1.0143
KDDCup,4.0,34,34.0,25.4661,14.1079,25.3955
Webspam,2.3,129,2.0729,1.6915,0.8891,0.8755
Webspam,2.5,129,3.3701,2.3496,0.8239,0.8005
Webspam,3.0,129,11.3578,4.9637,0.6938,0.6506
Webspam,3.5,129,38.2774,9.1526,0.5974,0.5397
Webspam,4.0,129,129.0,19.4062,0.6937,0.5986
