dataset,p,d,scale_factor,c
Covertype,2.3,55,1.8241,62.616
Covertype,2.5,55,2.7233,578.3221
Covertype,3.0,55,7.4162,2055.2367
Covertype,3.5,55,20.1963,2096.9814
Covertype,4.0,55,55.0,104818.6909
Example2D,2.3,3,1.1791,1.1586
Example2D,2.5,3,1.3161,1.2763
Example2D,3.0,3,1.7321,1.5952
Example2D,3.5,3,2.2795,1.9874
Example2D,4.0,3,3.0,2.4646
Iris,2.3,5,1.2731,1.207
Iris,2.5,5,1.4953,1.3726
Iris,3.0,5,2.2361,1.8947
Iris,3.5,5,3.3437,2.6233
Iris,4.0,5,5.0,3.6358
KDDCup,2.3,34,1.6972,2.0867
KDDCup,2.5,34,2.4147,3.2353
KDDCup,3.0,34,5.831,8.0693
KDDCup,3.5,34,14.0802,15.2333
KDDCup,4.0,34,34.0,1372.2947
Webspam,2.3,129,2.0729,2.305
Webspam,2.5,129,3.3701,3.8181
Webspam,3.0,129,11.3578,10.9414
Webspam,3.5,129,38.2774,23.7458
Webspam,4.0,129,129.0,631.3587
