dataset,p,max_scores_ratio,max_prob_ratio
Covertype,1.0000,33.9124,34.3421
Covertype,1.3000,12.3224,12.4354
Covertype,1.5000,143.7859,144.4850
Covertype,1.7000,62.8106,63.0622
Covertype,2.0000,1.0000,1.0000
Example2D,1.0000,1.6632,1.6611
Example2D,1.3000,1.4204,1.4204
Example2D,1.5000,1.2814,1.2814
Example2D,1.7000,1.1587,1.1587
Example2D,2.0000,1.0000,1.0000
Iris,1.0000,1.9067,1.6269
Iris,1.3000,1.5640,1.5640
Iris,1.5000,1.3738,1.3738
Iris,1.7000,1.2098,1.2098
Iris,2.0000,1.0000,1.0000
KDDCup,1.0000,6.4054,3.4369
KDDCup,1.3000,5.7447,3.4101
KDDCup,1.5000,3.4293,3.3642
KDDCup,1.7000,2.1071,2.1071
KDDCup,2.0000,1.0000,1.0000
Webspam,1.0000,5.1916,5.0288
Webspam,1.3000,6.8668,4.1935
Webspam,1.5000,4.5312,3.5989
Webspam,1.7000,2.4295,1.9135
Webspam,2.0000,1.0000,1.0000
