dataset,p,d,scale_factor,max_scores_ratio,max_prob_ratio
Covertype,2.3000,55,1.8241,80.2697,79.2809
Covertype,2.5000,55,2.7233,118.5985,115.3715
Covertype,3.0000,55,7.4162,743.3805,702.8366
Covertype,3.5000,55,20.1963,322.5454,273.4841
Covertype,4.0000,55,55.0000,1387350755.4340,51477.9509
Example2D,2.3000,3,1.1791,1.1639,1.1639
Example2D,2.5000,3,1.3161,1.2792,1.1964
Example2D,3.0000,3,1.7321,1.5858,1.5858
Example2D,3.5000,3,2.2795,1.9368,1.6186
Example2D,4.0000,3,3.0000,89.6086,1.6812
Iris,2.3000,5,1.2731,1.1220,1.1021
Iris,2.5000,5,1.4953,1.2063,1.1774
Iris,3.0000,5,2.2361,1.4260,1.4260
Iris,3.5000,5,3.3437,1.6730,1.6563
Iris,4.0000,5,5.0000,43.8853,1.8938
KDDCup,2.3000,34,1.6972,1.4420,1.4168
KDDCup,2.5000,34,2.4147,1.8025,1.8025
KDDCup,3.0000,34,5.8310,2.9579,2.9579
KDDCup,3.5000,34,14.0802,4.5937,4.5079
KDDCup,4.0000,34,34.0000,36198.3545,25.4661
Webspam,2.3000,129,2.0729,1.6863,1.6863
Webspam,2.5000,129,3.3701,2.3475,2.3475
Webspam,3.0000,129,11.3578,4.9634,4.9634
Webspam,3.5000,129,38.2774,9.3091,9.1524
Webspam,4.0000,129,129.0000,8255.2673,19.4061
