dataset,p,d,scale_factor,max_scores_ratio,max_prob_ratio
Covertype,2.3000,55,1.8241,109.8235,198.6825
Covertype,2.5000,55,2.7233,98.7290,265.2093
Covertype,3.0000,55,7.4162,81.2318,519.4395
Covertype,3.5000,55,20.1963,182.1831,2472.8743
Covertype,4.0000,55,55.0000,52960255334.2264,998626.5685
Example2D,2.3000,3,1.1791,0.9842,1.1661
Example2D,2.5000,3,1.3161,0.9624,1.2708
Example2D,3.0000,3,1.7321,0.9001,1.5650
Example2D,3.5000,3,2.2795,0.8496,1.9148
Example2D,4.0000,3,3.0000,29.8684,2.2588
Iris,2.3000,5,1.2731,0.8798,1.1258
Iris,2.5000,5,1.4953,0.8061,1.2064
Iris,3.0000,5,2.2361,0.6364,1.4238
Iris,3.5000,5,3.3437,0.5001,1.6557
Iris,4.0000,5,5.0000,8.7762,1.8936
KDDCup,2.3000,34,1.6972,0.8473,1.4408
KDDCup,2.5000,34,2.4147,0.7461,1.8033
KDDCup,3.0000,34,5.8310,0.5072,2.9581
KDDCup,3.5000,34,14.0802,0.3263,4.5081
KDDCup,4.0000,34,34.0000,1064.6575,25.4661
Webspam,2.3000,129,2.0729,0.8127,1.6904
Webspam,2.5000,129,3.3701,0.6952,2.3449
Webspam,3.0000,129,11.3578,0.4370,4.9641
Webspam,3.5000,129,38.2774,0.2432,9.1526
Webspam,4.0000,129,129.0000,63.9943,19.4061
