dataset,p,d,scale_factor,sum_lewis,sum_scaled_lewis,sum_scaled_l2lp,reference_d,reference_d_p_half
Covertype,2.3,55,1.8241,55.7015,101.6064,100.3976,55.0,100.3268
Covertype,2.5,55,2.7233,55.7757,151.8923,149.837,55.0,149.7798
Covertype,3.0,55,7.4162,59.374,440.329,407.8955,55.0,407.8909
Covertype,3.5,55,20.1963,59.7484,1206.6972,1110.8299,55.0,1110.797
Covertype,4.0,55,55.0,3499796.2497,192488793.7354,3025.0027,55.0,3025.0
Example2D,2.3,3,1.1791,3.0,3.5374,3.5547,3.0,3.5374
Example2D,2.5,3,1.3161,3.0,3.9482,3.9575,3.0,3.9482
Example2D,3.0,3,1.7321,3.0,5.1962,5.1991,3.0,5.1962
Example2D,3.5,3,2.2795,3.0356,6.9197,6.8403,3.0,6.8385
Example2D,4.0,3,3.0,119.0125,357.0375,9.0001,3.0,9.0
Iris,2.3,5,1.2731,5.0,6.3653,6.4169,5.0,6.3653
Iris,2.5,5,1.4953,5.0,7.4767,7.486,5.0,7.4767
Iris,3.0,5,2.2361,5.0,11.1804,11.181,5.0,11.1803
Iris,3.5,5,3.3437,5.0505,16.8875,16.7207,5.0,16.7185
Iris,4.0,5,5.0,115.8685,579.3425,25.0001,5.0,25.0
KDDCup,2.3,34,1.6972,34.0,57.7033,57.7763,34.0,57.7033
KDDCup,2.5,34,2.4147,34.0,82.101,82.1384,34.0,82.101
KDDCup,3.0,34,5.831,34.0002,198.2535,198.2597,34.0,198.2524
KDDCup,3.5,34,14.0802,34.6472,487.8397,478.7336,34.0,478.7272
KDDCup,4.0,34,34.0,48328.812,1643179.6097,1156.0002,34.0,1156.0
Webspam,2.3,129,2.0729,129.0004,267.4111,268.2445,129.0,267.4103
Webspam,2.5,129,3.3701,129.0,434.7475,435.2866,129.0,434.7475
Webspam,3.0,129,11.3578,129.0007,1465.166,1465.2908,129.0,1465.1584
Webspam,3.5,129,38.2774,131.2085,5022.3168,4937.8616,129.0,4937.7829
Webspam,4.0,129,129.0,54876.0379,7079008.8893,16641.0649,129.0,16641.0
