dataset,p,d,scale_factor,true_scores,false_scores,true_scores_percent,true_prob,false_prob,true_prob_percent
Covertype,2.3000,55,1.8241,580989,23,100.0000,580988,24,100.0000
Covertype,2.5000,55,2.7233,580989,23,100.0000,580990,22,100.0000
Covertype,3.0000,55,7.4162,580956,56,99.9900,580963,49,99.9900
Covertype,3.5000,55,20.1963,580880,132,99.9800,578107,2905,99.5000
Covertype,4.0000,55,55.0000,0,581012,0.0000,580399,613,99.8900
Example2D,2.3000,3,1.1791,175,0,100.0000,175,0,100.0000
Example2D,2.5000,3,1.3161,175,0,100.0000,175,0,100.0000
Example2D,3.0000,3,1.7321,175,0,100.0000,175,0,100.0000
Example2D,3.5000,3,2.2795,175,0,100.0000,175,0,100.0000
Example2D,4.0000,3,3.0000,0,175,0.0000,175,0,100.0000
Iris,2.3000,5,1.2731,150,0,100.0000,150,0,100.0000
Iris,2.5000,5,1.4953,150,0,100.0000,150,0,100.0000
Iris,3.0000,5,2.2361,150,0,100.0000,150,0,100.0000
Iris,3.5000,5,3.3437,150,0,100.0000,150,0,100.0000
Iris,4.0000,5,5.0000,0,150,0.0000,150,0,100.0000
KDDCup,2.3000,34,1.6972,494021,0,100.0000,494015,6,100.0000
KDDCup,2.5000,34,2.4147,494021,0,100.0000,494021,0,100.0000
KDDCup,3.0000,34,5.8310,494014,7,100.0000,493983,38,99.9900
KDDCup,3.5000,34,14.0802,493916,105,99.9800,493942,79,99.9800
KDDCup,4.0000,34,34.0000,1,494020,0.0000,213685,280336,43.2500
Webspam,2.3000,129,2.0729,350000,0,100.0000,349994,6,100.0000
Webspam,2.5000,129,3.3701,349990,10,100.0000,349954,46,99.9900
Webspam,3.0000,129,11.3578,349657,343,99.9000,349634,366,99.9000
Webspam,3.5000,129,38.2774,348712,1288,99.6300,348806,1194,99.6600
Webspam,4.0000,129,129.0000,16,349984,0.0000,343527,6473,98.1500
