dataset,p,n,true_scores,false_scores,ratio_true_scores,true_prob,false_prob,ratio_true_prob
Covertype,1.0000,581012,580702,310,0.9995,580999,13,1.0000
Covertype,1.3000,581012,580900,112,0.9998,581001,11,1.0000
Covertype,1.5000,581012,580946,66,0.9999,580986,26,1.0000
Covertype,1.7000,581012,580987,25,1.0000,580987,25,1.0000
Covertype,2.0000,581012,581012,0,1.0000,581012,0,1.0000
Example2D,1.0000,175,175,0,1.0000,175,0,1.0000
Example2D,1.3000,175,175,0,1.0000,175,0,1.0000
Example2D,1.5000,175,175,0,1.0000,175,0,1.0000
Example2D,1.7000,175,175,0,1.0000,175,0,1.0000
Example2D,2.0000,175,175,0,1.0000,175,0,1.0000
Iris,1.0000,150,150,0,1.0000,150,0,1.0000
Iris,1.3000,150,150,0,1.0000,150,0,1.0000
Iris,1.5000,150,150,0,1.0000,150,0,1.0000
Iris,1.7000,150,150,0,1.0000,150,0,1.0000
Iris,2.0000,150,150,0,1.0000,150,0,1.0000
KDDCup,1.0000,494021,493784,237,0.9995,492553,1468,0.9970
KDDCup,1.3000,494021,494005,16,1.0000,493635,386,0.9992
KDDCup,1.5000,494021,494020,1,1.0000,493803,218,0.9996
KDDCup,1.7000,494021,494021,0,1.0000,494021,0,1.0000
KDDCup,2.0000,494021,494021,0,1.0000,494021,0,1.0000
Webspam,1.0000,350000,347154,2846,0.9919,349510,490,0.9986
Webspam,1.3000,350000,349593,407,0.9988,349697,303,0.9991
Webspam,1.5000,350000,349962,38,0.9999,349830,170,0.9995
Webspam,1.7000,350000,350000,0,1.0000,349917,83,0.9998
Webspam,2.0000,350000,350000,0,1.0000,350000,0,1.0000
