dataset,p,d,scale_factor,true_scores,false_scores,true_scores_percent,true_prob,false_prob,true_prob_percent
Covertype,2.3000,55,1.8241,540247,40765,92.9800,580973,39,99.9900
Covertype,2.5000,55,2.7233,75,580937,0.0100,580972,40,99.9900
Covertype,3.0000,55,7.4162,7,581005,0.0000,580954,58,99.9900
Covertype,3.5000,55,20.1963,5,581007,0.0000,564562,16450,97.1700
Covertype,4.0000,55,55.0000,2,581010,0.0000,5,581007,0.0000
Example2D,2.3000,3,1.1791,175,0,100.0000,175,0,100.0000
Example2D,2.5000,3,1.3161,175,0,100.0000,175,0,100.0000
Example2D,3.0000,3,1.7321,76,99,43.4300,175,0,100.0000
Example2D,3.5000,3,2.2795,27,148,15.4300,175,0,100.0000
Example2D,4.0000,3,3.0000,0,175,0.0000,134,41,76.5700
Iris,2.3000,5,1.2731,150,0,100.0000,150,0,100.0000
Iris,2.5000,5,1.4953,147,3,98.0000,150,0,100.0000
Iris,3.0000,5,2.2361,22,128,14.6700,150,0,100.0000
Iris,3.5000,5,3.3437,1,149,0.6700,140,10,93.3300
Iris,4.0000,5,5.0000,12,138,8.0000,126,24,84.0000
KDDCup,2.3000,34,1.6972,475833,18188,96.3200,494016,5,100.0000
KDDCup,2.5000,34,2.4147,332,493689,0.0700,493857,164,99.9700
KDDCup,3.0000,34,5.8310,1,494020,0.0000,491110,2911,99.4100
KDDCup,3.5000,34,14.0802,0,494021,0.0000,483829,10192,97.9400
KDDCup,4.0000,34,34.0000,251,493770,0.0500,1693,492328,0.3400
Webspam,2.3000,129,2.0729,19966,330034,5.7000,349979,21,99.9900
Webspam,2.5000,129,3.3701,60,349940,0.0200,349749,251,99.9300
Webspam,3.0000,129,11.3578,0,350000,0.0000,312130,37870,89.1800
Webspam,3.5000,129,38.2774,0,350000,0.0000,205616,144384,58.7500
Webspam,4.0000,129,129.0000,179277,170723,51.2200,222899,127101,63.6900
