dataset,p,lp - lewis,lp - l2lp,lp - random,l2lp - lewis,lewis - random,l2lp - random
Covertype,1.0000000000,0.1890000000,0.1730000000,0.2600000000,0.0680000000,0.3760000000,0.3490000000
Example2D,1.0000000000,0.1140000000,0.1640000000,0.1790000000,0.1120000000,0.0900000000,0.1190000000
Iris,1.0000000000,0.1650000000,0.1750000000,0.1860000000,0.0770000000,0.0990000000,0.1460000000
KDDCup,1.0000000000,0.1420000000,0.1740000000,0.5380000000,0.1250000000,0.5480000000,0.5770000000
Webspam,1.0000000000,0.0900000000,0.1390000000,0.2480000000,0.1080000000,0.2670000000,0.3240000000
Covertype,1.3000000000,0.2360000000,0.2380000000,0.2510000000,0.0510000000,0.3850000000,0.3900000000
Example2D,1.3000000000,0.1480000000,0.1450000000,0.1150000000,0.0610000000,0.1170000000,0.1280000000
Iris,1.3000000000,0.1400000000,0.1550000000,0.1980000000,0.0650000000,0.1210000000,0.1580000000
KDDCup,1.3000000000,0.1840000000,0.2060000000,0.5480000000,0.0880000000,0.5000000000,0.5280000000
Webspam,1.3000000000,0.1070000000,0.1690000000,0.2880000000,0.1100000000,0.2710000000,0.3340000000
Covertype,1.5000000000,0.2850000000,0.2970000000,0.3340000000,0.0420000000,0.3890000000,0.4030000000
Example2D,1.5000000000,0.2110000000,0.2070000000,0.2200000000,0.0600000000,0.1360000000,0.1280000000
Iris,1.5000000000,0.1240000000,0.1510000000,0.1420000000,0.0460000000,0.1330000000,0.1510000000
KDDCup,1.5000000000,0.2700000000,0.2820000000,0.5410000000,0.0650000000,0.4480000000,0.4700000000
Webspam,1.5000000000,0.1390000000,0.1720000000,0.3290000000,0.0840000000,0.2730000000,0.3210000000
Covertype,1.7000000000,0.2360000000,0.2440000000,0.3740000000,0.0400000000,0.3940000000,0.4070000000
Example2D,1.7000000000,0.2190000000,0.2060000000,0.1210000000,0.0360000000,0.1550000000,0.1480000000
Iris,1.7000000000,0.2390000000,0.2340000000,0.2870000000,0.0290000000,0.1450000000,0.1590000000
KDDCup,1.7000000000,0.2980000000,0.3010000000,0.4820000000,0.0360000000,0.3740000000,0.3850000000
Webspam,1.7000000000,0.2790000000,0.2750000000,0.4660000000,0.0520000000,0.2740000000,0.3010000000
Covertype,2.0000000000,0.0000000000,0.0000000000,0.4090000000,0.0000000000,0.4090000000,0.4090000000
Example2D,2.0000000000,0.0000000000,0.0000000000,0.1830000000,0.0000000000,0.1830000000,0.1830000000
Iris,2.0000000000,0.0000000000,0.0000000000,0.1610000000,0.0000000000,0.1610000000,0.1610000000
KDDCup,2.0000000000,0.0000000000,0.0000000000,0.2950000000,0.0000000000,0.2950000000,0.2950000000
Webspam,2.0000000000,0.0000000000,0.0000000000,0.3020000000,0.0000000000,0.3020000000,0.3020000000
