dataset,p,lp - lewis,lp - scaled_l2lp,lp - random,scaled_l2lp - lewis,lewis - random,scaled_l2lp - random
Covertype,2.3000000000,0.5460000000,0.5450000000,0.7010000000,0.0420000000,0.4240000000,0.4130000000
Example2D,2.3000000000,0.1370000000,0.1380000000,0.2590000000,0.0310000000,0.2090000000,0.2140000000
Iris,2.3000000000,0.2290000000,0.2260000000,0.2280000000,0.0280000000,0.1770000000,0.1710000000
KDDCup,2.3000000000,0.4260000000,0.4310000000,0.4790000000,0.0320000000,0.3600000000,0.3620000000
Webspam,2.3000000000,0.6690000000,0.6700000000,0.7900000000,0.0460000000,0.3960000000,0.3970000000
Covertype,2.5000000000,0.5330000000,0.5300000000,0.7230000000,0.0490000000,0.4310000000,0.4160000000
Example2D,2.5000000000,0.2270000000,0.2400000000,0.3270000000,0.0500000000,0.2250000000,0.2340000000
Iris,2.5000000000,0.2600000000,0.2640000000,0.2870000000,0.0460000000,0.1860000000,0.1800000000
KDDCup,2.5000000000,0.5480000000,0.5570000000,0.3850000000,0.0520000000,0.4270000000,0.4320000000
Webspam,2.5000000000,0.7410000000,0.7430000000,0.8100000000,0.0740000000,0.4800000000,0.4870000000
Covertype,3.0000000000,0.6760000000,0.6680000000,0.7980000000,0.0890000000,0.4660000000,0.4250000000
Example2D,3.0000000000,0.1650000000,0.2160000000,0.2830000000,0.0940000000,0.2590000000,0.2830000000
Iris,3.0000000000,0.3150000000,0.3550000000,0.4160000000,0.0890000000,0.2070000000,0.2030000000
KDDCup,3.0000000000,0.6820000000,0.6930000000,0.5460000000,0.0970000000,0.6020000000,0.6240000000
Webspam,3.0000000000,0.7880000000,0.7950000000,0.7710000000,0.1370000000,0.6820000000,0.6990000000
Covertype,3.5000000000,0.9660000000,0.9640000000,0.9870000000,0.1110000000,0.4750000000,0.4380000000
Example2D,3.5000000000,0.2560000000,0.2540000000,0.2880000000,0.1340000000,0.2850000000,0.3250000000
Iris,3.5000000000,0.5390000000,0.5590000000,0.6700000000,0.1290000000,0.2250000000,0.2260000000
KDDCup,3.5000000000,0.8130000000,0.8210000000,0.4940000000,0.1370000000,0.6860000000,0.7240000000
Webspam,3.5000000000,0.8380000000,0.8500000000,0.8330000000,0.1900000000,0.8080000000,0.8250000000
Covertype,4.0000000000,0.9950000000,0.9730000000,0.9950000000,0.9250000000,0.9320000000,0.4550000000
Example2D,4.0000000000,0.2970000000,0.3020000000,0.4360000000,0.1690000000,0.3050000000,0.3640000000
Iris,4.0000000000,0.3070000000,0.3500000000,0.3510000000,0.1660000000,0.2410000000,0.2490000000
KDDCup,4.0000000000,0.9310000000,0.8140000000,0.6920000000,0.7130000000,0.9560000000,0.7700000000
Webspam,4.0000000000,0.9870000000,0.8920000000,0.6880000000,0.3670000000,0.9410000000,0.8780000000
